,Organization,Event,year,start.date,end.date,Location,city,state,place,lat,lng
1,Convention of American Instructors of the Deaf,First Convention of American Instructors of the Deaf,1850,1850-08-28,1850-08-30,New York Institution for the Deaf and Dumb,New York City,New York,"New York City,New York",40.7127281,-74.0060152
2,Convention of American Instructors of the Deaf,Second Convention of American Instructors of the Deaf,1851,1851-08-10,1851-08-12,American Asylum for the Deaf and Dumb,Hartford,Connecticut,"Hartford,Connecticut",41.7655582,-72.6906128
3,Convention of American Instructors of the Deaf,Third Convention of American Instructors of the Deaf,1853,1853-08-10,1853-08-12,Ohio Institution for the Deaf and Dumb,Columbus,Ohio,"Columbus,Ohio",39.9622601,-83.0007065
4,New England Gallaudet Association,First Convention of New England Gallaudet Association,1853,1853-02-24,1853-02-24,Brick Church,Montpelier,Vermont,"Montpelier,Vermont",44.2602164,-72.575114
5,Convention of American Instructors of the Deaf,Fourth Convention of American Instructors of the Deaf,1856,1856-08-13,1856-08-15,Virginia Institution for the Deaf and Dumb and the Blind,Staunton,Virginia,"Staunton,Virginia",38.1495947,-79.072557
6,New England Gallaudet Association,Second Convention of New England Gallaudet Association,1856,1856-09-03,1856-09-04,State House,Concord,New Hampshire,"Concord,New Hampshire",43.207178,-71.537476
7,Convention of American Instructors of the Deaf,Fifth Convention of American Instructors of the Deaf,1858,1858-08-10,1858-08-12,Illinois Institution for the Deaf and Dumb,Jacksonville,Illinois,"Jacksonville,Illinois",39.7343037,-90.2288356
8,New England Gallaudet Association,Third Convention of New England Gallaudet Association,1858,1858-09-08,1858-09-09,Washburn Hall,Worcester,Massachusetts,"Worcester,Massachusetts",42.2761217,-71.8058232
9,Alumni Association of the High Class of the New York Institution,First Convention,1859,1859-07-13,1859-07-13,New York Institution for the Deaf and Dumb,New York City,New York,"New York City,New York",40.7127281,-74.0060152
10,New England Gallaudet Association,Fourth Convention of New England Gallaudet Association,1860,1860-09-12,1860-09-14,American School for the Deaf,Hartford,Connecticut,"Hartford,Connecticut",41.7655582,-72.6906128
11,New England Gallaudet Association,Fifth Convention of New England Gallaudet Association,1862,1862-09-10,1862-09-12,City Hall,Portland,Maine,"Portland,Maine",43.6610277,-70.2548596
12,New England Gallaudet Association,Sixth Convention of New England Gallaudet Association,1864,1864-08-10,Unknown,Unknown,Providence,Rhode Island,"Providence,Rhode Island",41.8239891,-71.4128343
13,Empire State Association of Deaf-Mutes,First Biennial Convention of the Empire State Association of Deaf-Mutes,1865,1865-08-30,1865-08-30,Whiting's Hall,Syracuse,New York,"Syracuse,New York",43.0481221,-76.1474244
