Organization,Event,year,start date,end date,Location,city,state,Notes,Cite,SourceLink,AdditionalCitations
Convention of American Instructors of the Deaf,First Convention of American Instructors of the Deaf,1850,1850-08-28,1850-08-30,New York Institution for the Deaf and Dumb,New York City,New York,"Held at NY Institution, Gallaudet attended, presented.",,https://hdl.handle.net/2027/mdp.39015024226188?urlappend=%3Bseq=1,Also noted in AADD 3.1 p 12
Convention of American Instructors of the Deaf,Second Convention of American Instructors of the Deaf,1851,1851-08-10,1851-08-12,American Asylum for the Deaf and Dumb,Hartford,Connecticut,Wetmore motion that each day of convention open with prayer (passed). pg 6 Gallaudet and Gamage attended p 33,"Proceedings, pg 33",https://hdl.handle.net/2027/mdp.39015024226188?urlappend=%3Bseq=1,
Convention of American Instructors of the Deaf,Third Convention of American Instructors of the Deaf,1853,1853-08-10,1853-08-12,Ohio Institution for the Deaf and Dumb,Columbus,Ohio,"Gamage and Gallaudet delegates, Gallaudet presented,",,https://hdl.handle.net/2027/mdp.39015024226188?urlappend=%3Bseq=1,
New England Gallaudet Association,First Convention of New England Gallaudet Association,1853,1853-02-24,1853-02-24,Brick Church,Montpelier,Vermont,-,"AADD 5.3 pg 192, 9.2 1857-04, pg 78-87",https://hdl.handle.net/2027/iau.31858012596171?urlappend=%3Bseq=202,"Also referenced in Green-Mountain freeman, 1853-03-03- p 3, Proceedings of a convention of deaf mutes holden at Montpelier, Vermont, February 23 and 24 1853"
Convention of American Instructors of the Deaf,Fourth Convention of American Instructors of the Deaf,1856,1856-08-13,1856-08-15,Virginia Institution for the Deaf and Dumb and the Blind,Staunton,Virginia,none.,Proceedings ,https://hdl.handle.net/2027/mdp.39015024592951?urlappend=%3Bseq=21,
New England Gallaudet Association,Second Convention of New England Gallaudet Association,1856,1856-09-03,1856-09-04,State House,Concord,New Hampshire,"Gallaudet there interpreted. He made remarks - noting that he stopped at North Adams, Berkshire Co, MA, baptized child of deaf people. Francis Clerc there.","AADD 9.2 1857-04, pg 65-78",https://hdl.handle.net/2027/uiug.30112111507510?urlappend=%3Bseq=77,Also noted in AADD report 10.1 p 33
Convention of American Instructors of the Deaf,Fifth Convention of American Instructors of the Deaf,1858,1858-08-10,1858-08-12,Illinois Institution for the Deaf and Dumb,Jacksonville,Illinois,"Gallaudet, Gamage delegates. Gallaudet gave opening prayer.","Proceedings, pg 3, AADD 11.1 p 11",https://hdl.handle.net/2027/mdp.39015024592951?urlappend=%3Bseq=253,Also noted in AADD 11.1 p 11
New England Gallaudet Association,Third Convention of New England Gallaudet Association,1858,1858-09-08,1858-09-09,Washburn Hall,Worcester,Massachusetts,Gallaudet there - responded to Flournoy,"AADD 10.4 p 215, AADD 11.1 p 11",https://hdl.handle.net/2027/uva.x004925477?urlappend=%3Bseq=23,"Also referenced in The Washington Union, Convention of Deaf Mutes, 1858-10-05 p 1, AADD 11.1 p 11"
Alumni Association of the High Class of the New York Institution,First Convention,1859,1859-07-13,1859-07-13,New York Institution for the Deaf and Dumb,New York City,New York,Gallaudet gave benediction.,AADD 11.4 p 194,https://hdl.handle.net/2027/osu.32435018629857?urlappend=%3Bseq=203,
New England Gallaudet Association,Fourth Convention of New England Gallaudet Association,1860,1860-09-12,1860-09-14,American School for the Deaf,Hartford,Connecticut,"Gallaudet there, Interpreting. Gallaudet held service at St. Paul's Church with Clerc.",AADD 12.3 p.236,https://hdl.handle.net/2027/chi.101763092?urlappend=%3Bseq=506,
