"year","facility","city","state","cmdmWorker","serviceRegularity","serviceFrequency","geometry.lat","geometry.lng"
1878,"St. Peter's Church","Talladega","Alabama","Job Turner","Itinerant","once",33.434722,-86.101389
1878,"St. John's Church","Montgomery","Alabama","Job Turner","Itinerant","once",32.3669656,-86.3006485
1878,"St. John's Church","Mobile","Alabama","Job Turner","Itinerant","once",30.6943566,-88.0430541
1878,"Alabama Institution for Deaf-Mutes","Talladega","Alabama","Job Turner","Itinerant","once",33.434722,-86.101389
1879,"St. Peter's Church","Talladega","Alabama","Gallaudet and Turner","itinerant","once",33.434722,-86.101389
1879,"Trinity Church","Mobile","Alabama","Gallaudet and Turner","itinerant","once",30.6943566,-88.0430541
1879,"Christ Church","Little Rock ","Arkansas","Turner","itinerant","once",34.7464809,-92.2895948
1855,"Trinity Church","Branford","Connecticut","Thomas Gallaudet","promotional","once",41.2795414,-72.8150989
1855,"Christ Church","Hartford","Connecticut","Thomas Gallaudet","promotional","once",41.7625,-72.674167
1855,"Trinity Church","New Haven","Connecticut","Thomas Gallaudet","promotional","once",41.31,-72.923611
1858,"St. John's Church","Hartford","Connecticut","Thomas Gallaudet","promotional","once",41.7625,-72.674167
1860,"St. Paul's Church","Hartford","Connecticut","Thomas Gallaudet","itinerant","once",41.7625,-72.674167
1866,"Trinity Church","Hartford","Connecticut","Thomas Gallaudet","itinerant","once",41.7625,-72.674167
1873,"St. James' Church","New London","Connecticut","","itinerant","once",41.355556,-72.099444
1873,"St. Paul's Church","Hartford","Connecticut","","itinerant","once",41.764582,-72.6908547
1874,"St. John's Church","Bridgeport","Connecticut","R.D. Beers","occasional","intermittent",41.186389,-73.2048348
1874,"St. Paul's Church","Hartford","Connecticut","","occasional","intermittent",41.7625,-72.674167
1875,"St. Paul's Church","Bridgeport","Connecticut","R.D. Beers, Gallaudet","occasional","intermittent",41.186389,-73.2048348
1875,"St. Paul's Church","New Haven","Connecticut","Thomas Gallaudet","itinerant","once",41.31,-72.923611
1875,"Christ Church","Norwich","Connecticut","","itinerant","intermittent",41.550278,-72.0875
1876,"St. Andrew's Church","Meriden","Connecticut","Gallaudet, Chamberlain","Itinerant","intermittent",41.536667,-72.794722
1876,"St. Paul's Church","Hartford","Connecticut","Gallaudet, Chamberlain","Itinerant","intermittent",41.7625,-72.674167
