"","year","facility","city","state","facilityClergy","bishop","cmdmWorker","serviceRegularity","serviceFrequency","place","lat","lng"
"1",1878,"St. Peter's Church","Talladega","Alabama","J. F. Smith","Richard H. Wilmer","Job Turner","Itinerant","once","Talladega, Alabama",33.3967079,-86.1597137
"2",1878,"St. John's Church","Montgomery","Alabama","Horace Stringfellow","Richard H. Wilmer","Job Turner","Itinerant","once","Montgomery, Alabama",32.3669656,-86.3006485
"3",1878,"St. John's Church","Mobile","Alabama","T. J. Beard","Richard H. Wilmer","Job Turner","Itinerant","once","Mobile, Alabama",30.6943566,-88.0430541
"4",1878,"Alabama Institution for Deaf-Mutes","Talladega","Alabama","J. F. Smith","Richard H. Wilmer","Job Turner","Itinerant","once","Talladega, Alabama",33.3967079,-86.1597137
"5",1879,"St. Peter's Church","Talladega","Alabama","J. F. Smith","Richard H. Wilmer","Gallaudet and Turner","itinerant","once","Talladega, Alabama",33.3967079,-86.1597137
"6",1879,"Trinity Church","Mobile","Alabama","J.A. Massey","Richard H. Wilmer","Gallaudet and Turner","itinerant","once","Mobile, Alabama",30.6943566,-88.0430541
"7",1879,"Christ Church","Little Rock ","Arkansas","Tullius C. Tupper","Henry Niles Pierce","Turner","itinerant","once","Little Rock , Arkansas",34.7464809,-92.2895948
"8",1855,"Trinity Church","Branford","Connecticut","Henry Olmstead","Thomas Church Brownell","Thomas Gallaudet","promotional","once","Branford, Connecticut",41.2795414,-72.8150989
"9",1855,"Christ Church","Hartford","Connecticut","James M. Goodwin","Thomas Church Brownell","Thomas Gallaudet","promotional","once","Hartford, Connecticut",41.7655582,-72.6906128
"10",1855,"Trinity Church","New Haven","Connecticut","Harry Croswell","Thomas Church Brownell","Thomas Gallaudet","promotional","once","New Haven, Connecticut",41.2984343,-72.9310234
"11",1858,"St. John's Church","Hartford","Connecticut","Edward A. Washburn","Thomas Church Brownell","Thomas Gallaudet","promotional","once","Hartford, Connecticut",41.7655582,-72.6906128
"12",1860,"St. Paul's Church","Hartford","Connecticut","Charles R. Fisher","Thomas Church Brownell","Thomas Gallaudet","itinerant","once","Hartford, Connecticut",41.7655582,-72.6906128
"13",1866,"Trinity Church","Hartford","Connecticut","Robert Meech","Thomas Church Brownell","Thomas Gallaudet","itinerant","once","Hartford, Connecticut",41.7655582,-72.6906128
"14",1873,"St. James' Church","New London","Connecticut","Robert Hallam","John Williams","","itinerant","once","New London, Connecticut",41.331256,-72.0964372
"15",1873,"St. Paul's Church","Hartford","Connecticut","Charles R. Fisher","John Williams","","itinerant","once","Hartford, Connecticut",41.7655582,-72.6906128
"16",1874,"St. John's Church","Bridgeport","Connecticut","Eaton W. Maxcy","John Williams","R.D. Beers","occasional","intermittent","Bridgeport, Connecticut",41.1847223,-73.1867205
"17",1874,"St. Paul's Church","Hartford","Connecticut","Charles R. Fisher","John Williams","","occasional","intermittent","Hartford, Connecticut",41.7655582,-72.6906128
"18",1875,"St. Paul's Church","Bridgeport","Connecticut","N.S. Richardson","John Williams","R.D. Beers, Gallaudet","occasional","intermittent","Bridgeport, Connecticut",41.1847223,-73.1867205
"19",1875,"St. Paul's Church","New Haven","Connecticut","Francis Lobdell","John Williams","Thomas Gallaudet","itinerant","once","New Haven, Connecticut",41.2984343,-72.9310234
"20",1875,"Christ Church","Norwich","Connecticut","Samuel H. Giesy","John Williams","","itinerant","intermittent","Norwich, Connecticut",41.5499565,-72.08919
"21",1876,"St. Andrew's Church","Meriden","Connecticut","G. H. Deshon","John Williams","Gallaudet, Chamberlain","Itinerant","intermittent","Meriden, Connecticut",41.5378215,-72.8003388
"22",1876,"St. Paul's Church","Hartford","Connecticut","Charles R. Fisher","John Williams","Gallaudet, Chamberlain","Itinerant","intermittent","Hartford, Connecticut",41.7655582,-72.6906128
"23",1876,"St. James' Church","New London","Connecticut","W. B. Buckingham","John Williams","Gallaudet, Chamberlain","Itinerant","intermittent","New London, Connecticut",41.331256,-72.0964372
"24",1876,"St. Paul's Church","Bridgeport","Connecticut","N.S. Richardson","John Williams","R.D. Beers","occasional","intermittent","Bridgeport, Connecticut",41.1847223,-73.1867205
"25",1876,"St. Paul's Church","New Haven","Connecticut","Francis Lobdell","John Williams","Thomas Gallaudet","promotional","once","New Haven, Connecticut",41.2984343,-72.9310234
"26",1877,"St. Paul's Church","Bridgeport","Connecticut","N.S. Richardson","John Williams","Chamberlain","occasional","intermittent","Bridgeport, Connecticut",41.1847223,-73.1867205
"27",1877,"Park Congregational Church","Norwich","Connecticut","","","Gallaudet, Turner","itinerant","once","Norwich, Connecticut",41.5499565,-72.08919
