year,facility,city,state,facilityClergy,bishop,cmdmWorker,serviceRegularity,serviceFrequency,place,lat,lng
1878,St. Peter's Church,Talladega,Alabama,J. F. Smith,Richard H. Wilmer,Job Turner,Itinerant,once,"Talladega, Alabama",33.3967079,-86.1597137
1878,St. John's Church,Montgomery,Alabama,Horace Stringfellow,Richard H. Wilmer,Job Turner,Itinerant,once,"Montgomery, Alabama",32.3669656,-86.3006485
1878,St. John's Church,Mobile,Alabama,T. J. Beard,Richard H. Wilmer,Job Turner,Itinerant,once,"Mobile, Alabama",30.6943566,-88.0430541
1878,Alabama Institution for Deaf-Mutes,Talladega,Alabama,J. F. Smith,Richard H. Wilmer,Job Turner,Itinerant,once,"Talladega, Alabama",33.3967079,-86.1597137
1879,St. Peter's Church,Talladega,Alabama,J. F. Smith,Richard H. Wilmer,Gallaudet and Turner,itinerant,once,"Talladega, Alabama",33.3967079,-86.1597137
1879,Trinity Church,Mobile,Alabama,J.A. Massey,Richard H. Wilmer,Gallaudet and Turner,itinerant,once,"Mobile, Alabama",30.6943566,-88.0430541
1879,Christ Church,Little Rock ,Arkansas,Tullius C. Tupper,Henry Niles Pierce,Turner,itinerant,once,"Little Rock , Arkansas",34.7464809,-92.2895948
1855,Trinity Church,Branford,Connecticut,Henry Olmstead,Thomas Church Brownell,Thomas Gallaudet,promotional,once,"Branford, Connecticut",41.2795414,-72.8150989
1855,Christ Church,Hartford,Connecticut,James M. Goodwin,Thomas Church Brownell,Thomas Gallaudet,promotional,once,"Hartford, Connecticut",41.7655582,-72.6906128
1855,Trinity Church,New Haven,Connecticut,Harry Croswell,Thomas Church Brownell,Thomas Gallaudet,promotional,once,"New Haven, Connecticut",41.2984343,-72.9310234
1858,St. John's Church,Hartford,Connecticut,Edward A. Washburn,Thomas Church Brownell,Thomas Gallaudet,promotional,once,"Hartford, Connecticut",41.7655582,-72.6906128
1860,St. Paul's Church,Hartford,Connecticut,Charles R. Fisher,Thomas Church Brownell,Thomas Gallaudet,itinerant,once,"Hartford, Connecticut",41.7655582,-72.6906128
1866,Trinity Church,Hartford,Connecticut,Robert Meech,Thomas Church Brownell,Thomas Gallaudet,itinerant,once,"Hartford, Connecticut",41.7655582,-72.6906128
1873,St. James' Church,New London,Connecticut,Robert Hallam,John Williams,,itinerant,once,"New London, Connecticut",41.331256,-72.0964372
1873,St. Paul's Church,Hartford,Connecticut,Charles R. Fisher,John Williams,,itinerant,once,"Hartford, Connecticut",41.7655582,-72.6906128
1874,St. John's Church,Bridgeport,Connecticut,Eaton W. Maxcy,John Williams,R.D. Beers,occasional,intermittent,"Bridgeport, Connecticut",41.1847223,-73.1867205
1874,St. Paul's Church,Hartford,Connecticut,Charles R. Fisher,John Williams,,occasional,intermittent,"Hartford, Connecticut",41.7655582,-72.6906128
1875,St. Paul's Church,Bridgeport,Connecticut,N.S. Richardson,John Williams,"R.D. Beers, Gallaudet",occasional,intermittent,"Bridgeport, Connecticut",41.1847223,-73.1867205
